date,location,total_cases
21/07/2020,India,1193078
22/07/2020,China,83729
22/07/2020,Chile,336402
22/07/2020,Australia,13302
22/07/2020,Egypt,89745
22/07/2020,United Kingdom,296956
22/07/2020,United States,3957950
22/07/2020,Hungary,4366
22/07/2020,Japan,27107
22/07/2020,Greenland,13
22/07/2020,South Africa,394948
22/07/2020,India,1238798
23/07/2020,China,83750
23/07/2020,Chile,338759
23/07/2020,Australia,13595
23/07/2020,Egypt,90413
23/07/2020,United Kingdom,297725
23/07/2020,United States,4025863
23/07/2020,Hungary,4380
23/07/2020,Japan,28088
23/07/2020,Greenland,13
23/07/2020,South Africa,408052
23/07/2020,India,1288108
24/07/2020,China,83784
24/07/2020,Chile,341304
24/07/2020,Australia,13950
24/07/2020,Egypt,91072
24/07/2020,United Kingdom,298493
24/07/2020,United States,4101024
24/07/2020,Hungary,4398
24/07/2020,Japan,28867
24/07/2020,Greenland,13
24/07/2020,South Africa,421996
24/07/2020,India,1337024
25/07/2020,China,83830
25/07/2020,Chile,343592
25/07/2020,Australia,14403
25/07/2020,Egypt,91583
25/07/2020,United Kingdom,299260
25/07/2020,United States,4165207
25/07/2020,Hungary,4424
25/07/2020,Japan,29668
25/07/2020,Greenland,13
25/07/2020,South Africa,434200
25/07/2020,India,1385635
26/07/2020,China,83891
26/07/2020,Chile,345790
26/07/2020,Australia,14935
26/07/2020,Egypt,92062
26/07/2020,United Kingdom,300006
26/07/2020,United States,4221077
26/07/2020,Hungary,4435
26/07/2020,Japan,30507
26/07/2020,Greenland,13
26/07/2020,South Africa,445433
26/07/2020,India,1435616
27/07/2020,China,83959
27/07/2020,Chile,347923
27/07/2020,Australia,15303
27/07/2020,Egypt,92482
27/07/2020,United Kingdom,300691
27/07/2020,United States,4280720
27/07/2020,Hungary,4448
27/07/2020,Japan,31107
27/07/2020,Greenland,14
27/07/2020,South Africa,452529
27/07/2020,India,1480073
28/07/2020,China,84060
28/07/2020,Chile,349800
28/07/2020,Australia,15582
28/07/2020,Egypt,92947
28/07/2020,United Kingdom,301238
28/07/2020,United States,4345619
28/07/2020,Hungary,4456
28/07/2020,Japan,32092
28/07/2020,Greenland,14
28/07/2020,South Africa,459761
28/07/2020,India,1531669
29/07/2020,China,84165
29/07/2020,Chile,351575
29/07/2020,Australia,16298
29/07/2020,Egypt,93356
29/07/2020,United Kingdom,302037
29/07/2020,United States,4409755
29/07/2020,Hungary,4465
29/07/2020,Japan,33362
29/07/2020,Greenland,14
29/07/2020,South Africa,471123
29/07/2020,India,1581963
30/07/2020,China,84292
30/07/2020,Chile,353536
30/07/2020,Australia,16903
30/07/2020,Egypt,93757
30/07/2020,United Kingdom,302884
30/07/2020,United States,4478964
30/07/2020,Hungary,4484
30/07/2020,Japan,34670
30/07/2020,Greenland,14
30/07/2020,South Africa,482169
30/07/2020,India,1634746
31/07/2020,China,84337
31/07/2020,Chile,355667
31/07/2020,Australia,17280
31/07/2020,Egypt,94078
31/07/2020,United Kingdom,303764
31/07/2020,United States,4543573
31/07/2020,Hungary,4505
31/07/2020,Japan,36256
31/07/2020,Greenland,14
31/07/2020,South Africa,493183
31/07/2020,India,1695988
01/08/2020,China,84385
01/08/2020,Chile,357658
01/08/2020,Australia,17895
01/08/2020,Egypt,94316
01/08/2020,United Kingdom,304525
01/08/2020,United States,4601225
01/08/2020,Hungary,4526
01/08/2020,Japan,37790
01/08/2020,Greenland,14
01/08/2020,South Africa,503290
01/08/2020,India,1750723
02/08/2020,China,84428
02/08/2020,Chile,359731
02/08/2020,Australia,18318
02/08/2020,Egypt,94483
02/08/2020,United Kingdom,305268
02/08/2020,United States,4648264
02/08/2020,Hungary,4535
02/08/2020,Japan,39121
02/08/2020,Greenland,14
02/08/2020,South Africa,511485
02/08/2020,India,1803695
03/08/2020,China,84464
03/08/2020,Chile,361493
03/08/2020,Australia,18730
03/08/2020,Egypt,94640
03/08/2020,United Kingdom,306207
03/08/2020,United States,4689921
03/08/2020,Hungary,4544
03/08/2020,Japan,40086
03/08/2020,Greenland,14
03/08/2020,South Africa,516862
03/08/2020,India,1855745
04/08/2020,China,84491
04/08/2020,Chile,362962
04/08/2020,Australia,19445
04/08/2020,Egypt,94752
04/08/2020,United Kingdom,306877
04/08/2020,United States,4751611
04/08/2020,Hungary,4553
04/08/2020,Japan,41332
04/08/2020,Greenland,14
04/08/2020,South Africa,521318
04/08/2020,India,1908254
05/08/2020,China,84528
05/08/2020,Chile,364723
05/08/2020,Australia,19890
05/08/2020,Egypt,94875
05/08/2020,United Kingdom,307771
05/08/2020,United States,4805959
05/08/2020,Hungary,4564
05/08/2020,Japan,42687
05/08/2020,Greenland,14
05/08/2020,South Africa,529877
05/08/2020,India,1964536
06/08/2020,China,84565
06/08/2020,Chile,366671
06/08/2020,Australia,20272
06/08/2020,Egypt,95006
06/08/2020,United Kingdom,308721
06/08/2020,United States,4866064
06/08/2020,Hungary,4597
06/08/2020,Japan,44172
06/08/2020,Greenland,14
06/08/2020,South Africa,538184
06/08/2020,India,2027074
07/08/2020,China,84596
07/08/2020,Chile,368825
07/08/2020,Australia,20698
07/08/2020,Egypt,95147
07/08/2020,United Kingdom,309593
07/08/2020,United States,4926625
07/08/2020,Hungary,4621
07/08/2020,Japan,45777
07/08/2020,Greenland,14
07/08/2020,South Africa,545476
07/08/2020,India,2088611
08/08/2020,China,84619
08/08/2020,Chile,371023
08/08/2020,Australia,21084
08/08/2020,Egypt,95314
08/08/2020,United Kingdom,310352
08/08/2020,United States,4990647
08/08/2020,Hungary,4653
08/08/2020,Japan,47348
08/08/2020,Greenland,14
08/08/2020,South Africa,553188
08/08/2020,India,2153010
09/08/2020,China,84668
09/08/2020,Chile,373056
09/08/2020,Australia,21397
09/08/2020,Egypt,95492
09/08/2020,United Kingdom,311414
09/08/2020,United States,5044886
09/08/2020,Hungary,4696
09/08/2020,Japan,48789
09/08/2020,Greenland,14
09/08/2020,South Africa,559859
09/08/2020,India,2215074
10/08/2020,China,84712
10/08/2020,Chile,375044
10/08/2020,Australia,21713
10/08/2020,Egypt,95666
10/08/2020,United Kingdom,312232
10/08/2020,United States,5096490
10/08/2020,Hungary,4731
10/08/2020,Japan,49627
10/08/2020,Greenland,14
10/08/2020,South Africa,563598
10/08/2020,India,2268675
11/08/2020,China,84731
11/08/2020,Chile,376616
11/08/2020,Australia,22127
11/08/2020,Egypt,95834
11/08/2020,United Kingdom,313380
11/08/2020,United States,5153531
11/08/2020,Hungary,4746
11/08/2020,Japan,50324
11/08/2020,Greenland,14
11/08/2020,South Africa,566109
11/08/2020,India,2329638
12/08/2020,China,84756
12/08/2020,Chile,378168
12/08/2020,Australia,22358
12/08/2020,Egypt,95963
12/08/2020,United Kingdom,314389
12/08/2020,United States,5208655
12/08/2020,Hungary,4768
12/08/2020,Japan,51303
12/08/2020,Greenland,14
12/08/2020,South Africa,568919
12/08/2020,India,2396637
13/08/2020,China,84786
13/08/2020,Chile,380034
13/08/2020,Australia,22742
13/08/2020,Egypt,96108
13/08/2020,United Kingdom,315520
13/08/2020,United States,5260370
13/08/2020,Hungary,4813
13/08/2020,Japan,52475
13/08/2020,Greenland,14
13/08/2020,South Africa,572865
13/08/2020,India,2461190
14/08/2020,China,84808
14/08/2020,Chile,382111
14/08/2020,Australia,23035
14/08/2020,Egypt,96220
14/08/2020,United Kingdom,316962
14/08/2020,United States,5330525
14/08/2020,Hungary,4853
14/08/2020,Japan,53831
14/08/2020,Greenland,14
14/08/2020,South Africa,579140
14/08/2020,India,2525922
15/08/2020,China,84827
15/08/2020,Chile,383902
15/08/2020,Australia,23287
15/08/2020,Egypt,96336
15/08/2020,United Kingdom,317977
15/08/2020,United States,5382900
15/08/2020,Hungary,4877
15/08/2020,Japan,55062
15/08/2020,Greenland,14
15/08/2020,South Africa,583653
15/08/2020,India,2589952
16/08/2020,China,84849
16/08/2020,Chile,385946
16/08/2020,Australia,23558
16/08/2020,Egypt,96475
16/08/2020,United Kingdom,319084
16/08/2020,United States,5417654
16/08/2020,Hungary,4916
16/08/2020,Japan,56079
16/08/2020,Greenland,14
16/08/2020,South Africa,587345
16/08/2020,India,2647663
17/08/2020,China,84871
17/08/2020,Chile,387502
17/08/2020,Australia,23773
17/08/2020,Egypt,96590
17/08/2020,United Kingdom,319797
17/08/2020,United States,5455433
17/08/2020,Hungary,4946
17/08/2020,Japan,56726
17/08/2020,Greenland,14
17/08/2020,South Africa,589886
17/08/2020,India,2702681
18/08/2020,China,84888
18/08/2020,Chile,388855
18/08/2020,Australia,23989
18/08/2020,Egypt,96753
18/08/2020,United Kingdom,320888
18/08/2020,United States,5500284
18/08/2020,Hungary,4970
18/08/2020,Japan,57642
18/08/2020,Greenland,14
18/08/2020,South Africa,592144
18/08/2020,India,2767253
19/08/2020,China,84895
19/08/2020,Chile,390037
19/08/2020,Australia,24236
19/08/2020,Egypt,96914
19/08/2020,United Kingdom,321701
19/08/2020,United States,5546080
19/08/2020,Hungary,5002
19/08/2020,Japan,58712
19/08/2020,Greenland,14
19/08/2020,South Africa,596060
19/08/2020,India,2836925
20/08/2020,China,84917
20/08/2020,Chile,391849
20/08/2020,Australia,24407
20/08/2020,Egypt,97025
20/08/2020,United Kingdom,322884
20/08/2020,United States,5591246
20/08/2020,Hungary,5046
20/08/2020,Japan,59890
20/08/2020,Greenland,14
20/08/2020,South Africa,599940
20/08/2020,India,2905825
21/08/2020,China,84939
21/08/2020,Chile,393769
21/08/2020,Australia,24602
21/08/2020,Egypt,97148
21/08/2020,United Kingdom,323919
21/08/2020,United States,5638812
21/08/2020,Hungary,5098
21/08/2020,Japan,60927
21/08/2020,Greenland,14
21/08/2020,South Africa,603338
21/08/2020,India,2975701
22/08/2020,China,84951
22/08/2020,Chile,395708
22/08/2020,Australia,24811
22/08/2020,Egypt,97237
22/08/2020,United Kingdom,325207
22/08/2020,United States,5684613
22/08/2020,Hungary,5133
22/08/2020,Japan,61911
22/08/2020,Greenland,14
22/08/2020,South Africa,607045
22/08/2020,India,3044940
23/08/2020,China,84967
23/08/2020,Chile,397665
23/08/2020,Australia,24915
23/08/2020,Egypt,97340
23/08/2020,United Kingdom,326250
23/08/2020,United States,5716540
23/08/2020,Hungary,5155
23/08/2020,Japan,62655
23/08/2020,Greenland,14
23/08/2020,South Africa,609773
23/08/2020,India,3106348
24/08/2020,China,84981
24/08/2020,Chile,399568
24/08/2020,Australia,25053
24/08/2020,Egypt,97478
24/08/2020,United Kingdom,327222
24/08/2020,United States,5750353
24/08/2020,Hungary,5191
24/08/2020,Japan,63148
24/08/2020,Greenland,14
24/08/2020,South Africa,611450
24/08/2020,India,3167323
25/08/2020,China,84996
25/08/2020,Chile,400985
25/08/2020,Australia,25204
25/08/2020,Egypt,97619
25/08/2020,United Kingdom,328406
25/08/2020,United States,5793021
25/08/2020,Hungary,5215
25/08/2020,Japan,63863
25/08/2020,Greenland,14
25/08/2020,South Africa,613017
25/08/2020,India,3224547
26/08/2020,China,85004
26/08/2020,Chile,402365
26/08/2020,Australia,25322
26/08/2020,Egypt,97825
26/08/2020,United Kingdom,329457
26/08/2020,United States,5835011
26/08/2020,Hungary,5288
26/08/2020,Japan,64766
26/08/2020,Greenland,14
26/08/2020,South Africa,615701
26/08/2020,India,3310234
27/08/2020,China,85013
27/08/2020,Chile,404102
27/08/2020,Australia,25448
27/08/2020,Egypt,98062
27/08/2020,United Kingdom,330981
27/08/2020,United States,5885556
27/08/2020,Hungary,5379
27/08/2020,Japan,65629
27/08/2020,Greenland,14
27/08/2020,South Africa,618286
27/08/2020,India,3387500
28/08/2020,China,85022
28/08/2020,Chile,405972
28/08/2020,Australia,25547
28/08/2020,Egypt,98285
28/08/2020,United Kingdom,332259
28/08/2020,United States,5931966
28/08/2020,Hungary,5511
28/08/2020,Japan,66505
28/08/2020,Greenland,14
28/08/2020,South Africa,620132
28/08/2020,India,3463972
29/08/2020,China,85031
29/08/2020,Chile,408009
29/08/2020,Australia,25670
29/08/2020,Egypt,98497
29/08/2020,United Kingdom,333368
29/08/2020,United States,5975220
29/08/2020,Hungary,5669
29/08/2020,Japan,67349
29/08/2020,Greenland,14
29/08/2020,South Africa,622551
29/08/2020,India,3542733
30/08/2020,China,85048
30/08/2020,Chile,409974
30/08/2020,Australia,25746
30/08/2020,Egypt,98727
30/08/2020,United Kingdom,335085
30/08/2020,United States,6009455
30/08/2020,Hungary,5961
30/08/2020,Japan,67949
30/08/2020,Greenland,14
30/08/2020,South Africa,625056
30/08/2020,India,3621245
31/08/2020,China,85058
31/08/2020,Chile,411726
31/08/2020,Australia,25819
31/08/2020,Egypt,98939
31/08/2020,United Kingdom,336491
31/08/2020,United States,6042737
31/08/2020,Hungary,6139
31/08/2020,Japan,68385
31/08/2020,Greenland,14
31/08/2020,South Africa,627041
31/08/2020,India,3691166
01/09/2020,China,85065
01/09/2020,Chile,413145
01/09/2020,Australia,25923
01/09/2020,Egypt,99115
01/09/2020,United Kingdom,337786
01/09/2020,United States,6084632
01/09/2020,Hungary,6257
01/09/2020,Japan,69018
01/09/2020,Greenland,14
01/09/2020,South Africa,628259
01/09/2020,India,3769523
02/09/2020,China,85077
02/09/2020,Chile,414739
02/09/2020,Australia,26049
02/09/2020,Egypt,99280
02/09/2020,United Kingdom,339296
02/09/2020,United States,6124498
02/09/2020,Hungary,6622
02/09/2020,Japan,69610
02/09/2020,Greenland,14
02/09/2020,South Africa,630595
02/09/2020,India,3853406
03/09/2020,China,85102
03/09/2020,Chile,416501
03/09/2020,Australia,26136
03/09/2020,Egypt,99425
03/09/2020,United Kingdom,341032
03/09/2020,United States,6169660
03/09/2020,Hungary,6923
03/09/2020,Japan,70267
03/09/2020,Greenland,14
03/09/2020,South Africa,633015
03/09/2020,India,3936747
04/09/2020,China,85112
04/09/2020,Chile,418469
04/09/2020,Australia,26207
04/09/2020,Egypt,99582
04/09/2020,United Kingdom,342976
04/09/2020,United States,6217985
04/09/2020,Hungary,7382
04/09/2020,Japan,70854
04/09/2020,Greenland,14
04/09/2020,South Africa,635078
04/09/2020,India,4023179
05/09/2020,China,85122
05/09/2020,Chile,420434
05/09/2020,Australia,26278
05/09/2020,Egypt,99712
05/09/2020,United Kingdom,344789
05/09/2020,United States,6261676
05/09/2020,Hungary,7892
05/09/2020,Japan,71452
05/09/2020,Greenland,14
05/09/2020,South Africa,636884
05/09/2020,India,4113811
06/09/2020,China,85134
06/09/2020,Chile,422510
06/09/2020,Australia,26321
06/09/2020,Egypt,99863
06/09/2020,United Kingdom,347777
06/09/2020,United States,6290923
06/09/2020,Hungary,8387
06/09/2020,Japan,71903
06/09/2020,Greenland,14
06/09/2020,South Africa,638517
06/09/2020,India,4204613
07/09/2020,China,85143
07/09/2020,Chile,424274
07/09/2020,Australia,26373
07/09/2020,Egypt,100041
07/09/2020,United Kingdom,350725
07/09/2020,United States,6315582
07/09/2020,Hungary,8963
07/09/2020,Japan,72194
07/09/2020,Greenland,14
07/09/2020,South Africa,639362
07/09/2020,India,4280422
08/09/2020,China,85146
08/09/2020,Chile,425541
08/09/2020,Australia,26465
08/09/2020,Egypt,100228
08/09/2020,United Kingdom,353187
08/09/2020,United States,6342162
08/09/2020,Hungary,9304
08/09/2020,Japan,72703
08/09/2020,Greenland,14
08/09/2020,South Africa,640441
08/09/2020,India,4370128
09/09/2020,China,85153
09/09/2020,Chile,427027
09/09/2020,Australia,26524
09/09/2020,Egypt,100403
09/09/2020,United Kingdom,355846
09/09/2020,United States,6375712
09/09/2020,Hungary,9715
09/09/2020,Japan,73211
09/09/2020,Greenland,14
09/09/2020,South Africa,642431
09/09/2020,India,4465863
10/09/2020,China,85168
10/09/2020,Chile,428669
10/09/2020,Australia,26564
10/09/2020,Egypt,100557
10/09/2020,United Kingdom,358768
10/09/2020,United States,6415253
10/09/2020,Hungary,10191
10/09/2020,Japan,73923
10/09/2020,Greenland,14
10/09/2020,South Africa,644438
10/09/2020,India,4562414
11/09/2020,China,85174
11/09/2020,Chile,430535
11/09/2020,Australia,26607
11/09/2020,Egypt,100708
11/09/2020,United Kingdom,362308
11/09/2020,United States,6459671
11/09/2020,Hungary,10909
11/09/2020,Japan,74565
11/09/2020,Greenland,14
11/09/2020,South Africa,646398
11/09/2020,India,4659984
12/09/2020,China,85184
12/09/2020,Chile,432666
12/09/2020,Australia,26651
12/09/2020,Egypt,100856
12/09/2020,United Kingdom,365806
12/09/2020,United States,6505273
12/09/2020,Hungary,11825
12/09/2020,Japan,75211
12/09/2020,Greenland,14
12/09/2020,South Africa,648214
12/09/2020,India,4754356
13/09/2020,China,85194
13/09/2020,Chile,434748
13/09/2020,Australia,26692
13/09/2020,Egypt,101009
13/09/2020,United Kingdom,369137
13/09/2020,United States,6545739
13/09/2020,Hungary,12309
13/09/2020,Japan,75650
13/09/2020,Greenland,14
13/09/2020,South Africa,649793
13/09/2020,India,4846427
14/09/2020,China,85202
14/09/2020,Chile,436433
14/09/2020,Australia,26739
14/09/2020,Egypt,101177
14/09/2020,United Kingdom,371760
14/09/2020,United States,6578330
14/09/2020,Hungary,13153
14/09/2020,Japan,75916
14/09/2020,Greenland,14
14/09/2020,South Africa,650749
14/09/2020,India,4930236
15/09/2020,China,85214
15/09/2020,Chile,437983
15/09/2020,Australia,26778
15/09/2020,Egypt,101340
15/09/2020,United Kingdom,374864
15/09/2020,United States,6615476
15/09/2020,Hungary,13879
15/09/2020,Japan,76447
15/09/2020,Greenland,14
15/09/2020,South Africa,651521
15/09/2020,India,5020359
16/09/2020,China,85223
16/09/2020,Chile,439287
16/09/2020,Australia,26813
16/09/2020,Egypt,101500
16/09/2020,United Kingdom,378857
16/09/2020,United States,6653643
16/09/2020,Hungary,14460
16/09/2020,Japan,76998
16/09/2020,Greenland,14
16/09/2020,South Africa,653444
16/09/2020,India,5118253
17/09/2020,China,85255
17/09/2020,Chile,441150
17/09/2020,Australia,26861
17/09/2020,Egypt,101641
17/09/2020,United Kingdom,382255
17/09/2020,United States,6698846
17/09/2020,Hungary,15170
17/09/2020,Japan,77487
17/09/2020,Greenland,14
17/09/2020,South Africa,655572
17/09/2020,India,5214677
18/09/2020,China,85269
18/09/2020,Chile,442827
18/09/2020,Australia,26885
18/09/2020,Egypt,101772
18/09/2020,United Kingdom,386579
18/09/2020,United States,6749162
18/09/2020,Hungary,16111
18/09/2020,Japan,78059
18/09/2020,Greenland,14
18/09/2020,South Africa,657627
18/09/2020,India,5308014
19/09/2020,China,85279
19/09/2020,Chile,444674
19/09/2020,Australia,26898
19/09/2020,Egypt,101900
19/09/2020,United Kingdom,391002
19/09/2020,United States,6794963
19/09/2020,Hungary,16920
19/09/2020,Japan,78655
19/09/2020,Greenland,14
19/09/2020,South Africa,659656
19/09/2020,India,5400619
20/09/2020,China,85291
20/09/2020,Chile,446274
20/09/2020,Australia,26912
20/09/2020,Egypt,102015
20/09/2020,United Kingdom,394903
20/09/2020,United States,6836640
20/09/2020,Hungary,17990
20/09/2020,Japan,79135
20/09/2020,Greenland,14
20/09/2020,South Africa,661211
20/09/2020,India,5487580
21/09/2020,China,85297
21/09/2020,Chile,447468
21/09/2020,Australia,26942
21/09/2020,Egypt,102141
21/09/2020,United Kingdom,399274
21/09/2020,United States,6868711
21/09/2020,Hungary,18866
21/09/2020,Japan,79445
21/09/2020,Greenland,14
21/09/2020,South Africa,661936
21/09/2020,India,5562663
22/09/2020,China,85307
22/09/2020,Chile,448523
22/09/2020,Australia,26972
22/09/2020,Egypt,102254
22/09/2020,United Kingdom,404201
22/09/2020,United States,6906774
22/09/2020,Hungary,19499
22/09/2020,Japan,79776
22/09/2020,Greenland,14
22/09/2020,South Africa,663282
22/09/2020,India,5646010
23/09/2020,China,85314
23/09/2020,Chile,449903
23/09/2020,Australia,26980
23/09/2020,Egypt,102375
23/09/2020,United Kingdom,410381
23/09/2020,United States,6947899
23/09/2020,Hungary,20450
23/09/2020,Japan,79995
23/09/2020,Greenland,14
23/09/2020,South Africa,665188
23/09/2020,India,5732518
24/09/2020,China,85322
24/09/2020,Chile,451634
24/09/2020,Australia,27000
24/09/2020,Egypt,102513
24/09/2020,United Kingdom,417017
24/09/2020,United States,6996822
24/09/2020,Hungary,21200
24/09/2020,Japan,80477
24/09/2020,Greenland,14
24/09/2020,South Africa,667049
24/09/2020,India,5818570
25/09/2020,China,85337
25/09/2020,Chile,453868
25/09/2020,Australia,27016
25/09/2020,Egypt,102625
25/09/2020,United Kingdom,423890
25/09/2020,United States,7043895
25/09/2020,Hungary,22127
25/09/2020,Japan,81050
25/09/2020,Greenland,14
25/09/2020,South Africa,668529
25/09/2020,India,5903932
26/09/2020,China,85351
26/09/2020,Chile,455979
26/09/2020,Australia,27040
26/09/2020,Egypt,102736
26/09/2020,United Kingdom,429931
26/09/2020,United States,7087600
26/09/2020,Hungary,23077
26/09/2020,Japan,81689
26/09/2020,Greenland,14
26/09/2020,South Africa,669498
26/09/2020,India,5992532
27/09/2020,China,85372
27/09/2020,Chile,457901
27/09/2020,Australia,27044
27/09/2020,Egypt,102840
27/09/2020,United Kingdom,435628
27/09/2020,United States,7121467
27/09/2020,Hungary,24014
27/09/2020,Japan,82174
27/09/2020,Greenland,14
27/09/2020,South Africa,670766
27/09/2020,India,6074702
28/09/2020,China,85384
28/09/2020,Chile,459671
28/09/2020,Australia,27055
28/09/2020,Egypt,102955
28/09/2020,United Kingdom,439673
28/09/2020,United States,7159046
28/09/2020,Hungary,24716
28/09/2020,Japan,82476
28/09/2020,Greenland,14
28/09/2020,South Africa,671669
28/09/2020,India,6145291
29/09/2020,China,85403
29/09/2020,Chile,461300
29/09/2020,Australia,27078
29/09/2020,Egypt,103079
29/09/2020,United Kingdom,446817
29/09/2020,United States,7201053
29/09/2020,Hungary,25567
29/09/2020,Japan,83003
29/09/2020,Greenland,14
29/09/2020,South Africa,672572
29/09/2020,India,6225763
30/09/2020,China,85412
30/09/2020,Chile,462991
30/09/2020,Australia,27096
30/09/2020,Egypt,103198
30/09/2020,United Kingdom,453928
30/09/2020,United States,7239764
30/09/2020,Hungary,26461
30/09/2020,Japan,83579
30/09/2020,Greenland,14
30/09/2020,South Africa,674339
30/09/2020,India,6312584
01/10/2020,China,85424
01/10/2020,Chile,464750
01/10/2020,Australia,27109
01/10/2020,Egypt,103317
01/10/2020,United Kingdom,460846
01/10/2020,United States,7285913
01/10/2020,Hungary,27309
01/10/2020,Japan,84212
01/10/2020,Greenland,14
01/10/2020,South Africa,676084
01/10/2020,India,6394068
02/10/2020,China,85434
02/10/2020,Chile,466590
02/10/2020,Australia,27121
02/10/2020,Egypt,103466
02/10/2020,United Kingdom,467820
02/10/2020,United States,7339391
02/10/2020,Hungary,28631
02/10/2020,Japan,84754
02/10/2020,Greenland,14
02/10/2020,South Africa,677833
02/10/2020,India,6473544
03/10/2020,China,85450
03/10/2020,Chile,468471
03/10/2020,Australia,27135
03/10/2020,Egypt,103575
03/10/2020,United Kingdom,480691
03/10/2020,United States,7388701
03/10/2020,Hungary,29717
03/10/2020,Japan,85328
03/10/2020,Greenland,14
03/10/2020,South Africa,679716
03/10/2020,India,6549373
04/10/2020,China,85470
04/10/2020,Chile,470179
04/10/2020,Australia,27148
04/10/2020,Egypt,103683
04/10/2020,United Kingdom,503656
04/10/2020,United States,7421942
04/10/2020,Hungary,30575
04/10/2020,Japan,85728
04/10/2020,Greenland,14
04/10/2020,South Africa,681289
04/10/2020,India,6623815
05/10/2020,China,85482
05/10/2020,Chile,471746
05/10/2020,Australia,27173
05/10/2020,Egypt,103781
05/10/2020,United Kingdom,516251
05/10/2020,United States,7459111
05/10/2020,Hungary,31480
05/10/2020,Japan,86007
05/10/2020,Greenland,14
05/10/2020,South Africa,682215
05/10/2020,India,6685082
06/10/2020,China,85489
06/10/2020,Chile,473306
06/10/2020,Australia,27181
06/10/2020,Egypt,103902
06/10/2020,United Kingdom,530797
06/10/2020,United States,7503670
06/10/2020,Hungary,32298
06/10/2020,Japan,86507
06/10/2020,Greenland,14
06/10/2020,South Africa,683242
06/10/2020,India,6757131
07/10/2020,China,85498
07/10/2020,Chile,474440
07/10/2020,Australia,27206
07/10/2020,Egypt,104035
07/10/2020,United Kingdom,544965
07/10/2020,United States,7552783
07/10/2020,Hungary,33114
07/10/2020,Japan,87013
07/10/2020,Greenland,15
07/10/2020,South Africa,685155
07/10/2020,India,6835655
08/10/2020,China,85521
08/10/2020,Chile,476016
08/10/2020,Australia,27226
08/10/2020,Egypt,104156
08/10/2020,United Kingdom,562510
08/10/2020,United States,7610562
08/10/2020,Hungary,34046
08/10/2020,Japan,87640
08/10/2020,Greenland,15
08/10/2020,South Africa,686891
08/10/2020,India,6906151
09/10/2020,China,85536
09/10/2020,Chile,477769
09/10/2020,Australia,27244
09/10/2020,Egypt,104262
09/10/2020,United Kingdom,576378
09/10/2020,United States,7665695
09/10/2020,Hungary,35222
09/10/2020,Japan,88243
09/10/2020,Greenland,16
09/10/2020,South Africa,688352
09/10/2020,India,6979423
10/10/2020,China,85557
10/10/2020,Chile,479595
10/10/2020,Australia,27263
10/10/2020,Egypt,104387
10/10/2020,United Kingdom,591545
10/10/2020,United States,7721017
10/10/2020,Hungary,36596
10/10/2020,Japan,88921
10/10/2020,Greenland,16
10/10/2020,South Africa,690896
10/10/2020,India,7053806
11/10/2020,China,85584
11/10/2020,Chile,481371
11/10/2020,Australia,27285
11/10/2020,Egypt,104516
11/10/2020,United Kingdom,604426
11/10/2020,United States,7768084
11/10/2020,Hungary,37664
11/10/2020,Japan,89357
11/10/2020,Greenland,16
11/10/2020,South Africa,692471
11/10/2020,India,7120538
12/10/2020,China,85591
12/10/2020,Chile,482832
12/10/2020,Australia,27310
12/10/2020,Egypt,104648
12/10/2020,United Kingdom,618408
12/10/2020,United States,7810147
12/10/2020,Hungary,38837
12/10/2020,Japan,89635
12/10/2020,Greenland,16
12/10/2020,South Africa,693359
12/10/2020,India,7175880
13/10/2020,China,85611
13/10/2020,Chile,484280
13/10/2020,Australia,27337
13/10/2020,Egypt,104787
13/10/2020,United Kingdom,635643
13/10/2020,United States,7860117
13/10/2020,Hungary,39862
13/10/2020,Japan,90133
13/10/2020,Greenland,16
13/10/2020,South Africa,694537
13/10/2020,India,7239389
14/10/2020,China,85622
14/10/2020,Chile,485372
14/10/2020,Australia,27357
14/10/2020,Egypt,104915
14/10/2020,United Kingdom,655382
14/10/2020,United States,7918564
14/10/2020,Hungary,40782
14/10/2020,Japan,90685
14/10/2020,Greenland,16
14/10/2020,South Africa,696414
14/10/2020,India,7307097
15/10/2020,China,85646
15/10/2020,Chile,486496
15/10/2020,Australia,27371
15/10/2020,Egypt,105033
15/10/2020,United Kingdom,674365
15/10/2020,United States,7981926
15/10/2020,Hungary,41732
15/10/2020,Japan,91393
15/10/2020,Greenland,16
15/10/2020,South Africa,698184
15/10/2020,India,7370468
16/10/2020,China,85659
16/10/2020,Chile,488190
16/10/2020,Australia,27378
16/10/2020,Egypt,105159
16/10/2020,United Kingdom,690001
16/10/2020,United States,8052195
16/10/2020,Hungary,43025
16/10/2020,Japan,92032
16/10/2020,Greenland,16
16/10/2020,South Africa,700203
16/10/2020,India,7432680
17/10/2020,China,85672
17/10/2020,Chile,490003
17/10/2020,Australia,27390
17/10/2020,Egypt,105297
17/10/2020,United Kingdom,706174
17/10/2020,United States,8107066
17/10/2020,Hungary,44816
17/10/2020,Japan,92655
17/10/2020,Greenland,16
17/10/2020,South Africa,702131
17/10/2020,India,7494551
18/10/2020,China,85685
18/10/2020,Chile,491760
18/10/2020,Australia,27399
18/10/2020,Egypt,105424
18/10/2020,United Kingdom,723155
18/10/2020,United States,8159301
18/10/2020,Hungary,46290
18/10/2020,Japan,93085
18/10/2020,Greenland,16
18/10/2020,South Africa,703793
18/10/2020,India,7550273
