date,location,total_cases
02/03/2020,United Kingdom,134
02/03/2020,United States,55
02/03/2020,Japan,278
02/03/2020,India,5
03/03/2020,China,80151
03/03/2020,Chile,10
03/03/2020,Australia,39
03/03/2020,Egypt,2
03/03/2020,United Kingdom,189
03/03/2020,United States,74
03/03/2020,Japan,298
03/03/2020,India,5
04/03/2020,China,80271
04/03/2020,Chile,10
04/03/2020,Australia,52
04/03/2020,Egypt,2
04/03/2020,United Kingdom,245
04/03/2020,United States,107
04/03/2020,Hungary,2
04/03/2020,Japan,333
04/03/2020,India,28
05/03/2020,China,80422
05/03/2020,Chile,13
05/03/2020,Australia,55
05/03/2020,Egypt,3
05/03/2020,United Kingdom,294
05/03/2020,United States,184
05/03/2020,Hungary,2
05/03/2020,Japan,365
05/03/2020,South Africa,1
05/03/2020,India,30
06/03/2020,China,80573
06/03/2020,Chile,13
06/03/2020,Australia,60
06/03/2020,Egypt,15
06/03/2020,United Kingdom,373
06/03/2020,United States,237
06/03/2020,Hungary,2
06/03/2020,Japan,420
06/03/2020,South Africa,1
06/03/2020,India,31
07/03/2020,China,80652
07/03/2020,Chile,13
07/03/2020,Australia,63
07/03/2020,Egypt,15
07/03/2020,United Kingdom,428
07/03/2020,United States,403
07/03/2020,Hungary,4
07/03/2020,Japan,466
07/03/2020,South Africa,1
07/03/2020,India,34
08/03/2020,China,80699
08/03/2020,Chile,20
08/03/2020,Australia,76
08/03/2020,Egypt,49
08/03/2020,United Kingdom,482
08/03/2020,United States,519
08/03/2020,Hungary,7
08/03/2020,Japan,499
08/03/2020,South Africa,3
08/03/2020,India,39
09/03/2020,China,80735
09/03/2020,Chile,20
09/03/2020,Australia,91
09/03/2020,Egypt,55
09/03/2020,United Kingdom,629
09/03/2020,United States,594
09/03/2020,Hungary,9
09/03/2020,Japan,527
09/03/2020,South Africa,3
09/03/2020,India,43
10/03/2020,China,80757
10/03/2020,Chile,25
10/03/2020,Australia,107
10/03/2020,Egypt,59
10/03/2020,United Kingdom,887
10/03/2020,United States,782
10/03/2020,Hungary,9
10/03/2020,Japan,585
10/03/2020,South Africa,7
10/03/2020,India,56
11/03/2020,China,80785
11/03/2020,Chile,35
11/03/2020,Australia,128
11/03/2020,Egypt,60
11/03/2020,United Kingdom,1298
11/03/2020,United States,1147
11/03/2020,Hungary,13
11/03/2020,Japan,640
11/03/2020,South Africa,13
11/03/2020,India,62
12/03/2020,China,80793
12/03/2020,Chile,35
12/03/2020,Australia,128
12/03/2020,Egypt,67
12/03/2020,United Kingdom,1787
12/03/2020,United States,1586
12/03/2020,Hungary,13
12/03/2020,Japan,696
12/03/2020,South Africa,17
12/03/2020,India,73
13/03/2020,China,80801
13/03/2020,Chile,55
13/03/2020,Australia,200
13/03/2020,Egypt,80
13/03/2020,United Kingdom,2266
13/03/2020,United States,2219
13/03/2020,Hungary,19
13/03/2020,Japan,733
13/03/2020,South Africa,24
13/03/2020,India,82
14/03/2020,China,80827
14/03/2020,Chile,88
14/03/2020,Australia,250
14/03/2020,Egypt,109
14/03/2020,United Kingdom,2630
14/03/2020,United States,2978
14/03/2020,Hungary,30
14/03/2020,Japan,795
14/03/2020,South Africa,38
14/03/2020,India,102
15/03/2020,China,80848
15/03/2020,Chile,101
15/03/2020,Australia,297
15/03/2020,Egypt,110
15/03/2020,United Kingdom,3072
15/03/2020,United States,3212
15/03/2020,Hungary,32
15/03/2020,Japan,826
15/03/2020,South Africa,51
15/03/2020,India,113
16/03/2020,China,80867
16/03/2020,Chile,182
16/03/2020,Australia,377
16/03/2020,Egypt,150
16/03/2020,United Kingdom,3684
16/03/2020,United States,4679
16/03/2020,Hungary,39
16/03/2020,Japan,843
16/03/2020,Greenland,1
16/03/2020,South Africa,62
16/03/2020,India,119
17/03/2020,China,80884
17/03/2020,Chile,228
17/03/2020,Australia,452
17/03/2020,Egypt,196
17/03/2020,United Kingdom,4452
17/03/2020,United States,6512
17/03/2020,Hungary,50
17/03/2020,Japan,893
17/03/2020,Greenland,1
17/03/2020,South Africa,62
17/03/2020,India,142
18/03/2020,China,80906
18/03/2020,Chile,265
18/03/2020,Australia,568
18/03/2020,Egypt,196
18/03/2020,United Kingdom,5451
18/03/2020,United States,9169
18/03/2020,Hungary,58
18/03/2020,Japan,928
18/03/2020,Greenland,1
18/03/2020,South Africa,116
18/03/2020,India,156
19/03/2020,China,80931
19/03/2020,Chile,265
19/03/2020,Australia,681
19/03/2020,Egypt,256
19/03/2020,United Kingdom,6506
19/03/2020,United States,13663
19/03/2020,Hungary,73
19/03/2020,Japan,968
19/03/2020,Greenland,2
19/03/2020,South Africa,150
19/03/2020,India,194
20/03/2020,China,80977
20/03/2020,Chile,461
20/03/2020,Australia,791
20/03/2020,Egypt,285
20/03/2020,United Kingdom,7760
20/03/2020,United States,20030
20/03/2020,Hungary,85
20/03/2020,Japan,1022
20/03/2020,Greenland,2
20/03/2020,South Africa,202
20/03/2020,India,244
21/03/2020,China,81014
21/03/2020,Chile,592
21/03/2020,Australia,1071
21/03/2020,Egypt,294
21/03/2020,United Kingdom,8957
21/03/2020,United States,26025
21/03/2020,Hungary,103
21/03/2020,Japan,1059
21/03/2020,Greenland,2
21/03/2020,South Africa,240
21/03/2020,India,330
22/03/2020,China,81094
22/03/2020,Chile,687
22/03/2020,Australia,1549
22/03/2020,Egypt,327
22/03/2020,United Kingdom,10368
22/03/2020,United States,34944
22/03/2020,Hungary,131
22/03/2020,Japan,1104
22/03/2020,Greenland,4
22/03/2020,South Africa,274
22/03/2020,India,396
23/03/2020,China,81118
23/03/2020,Chile,801
23/03/2020,Australia,1682
23/03/2020,Egypt,366
23/03/2020,United Kingdom,12707
23/03/2020,United States,46096
23/03/2020,Hungary,167
23/03/2020,Japan,1144
23/03/2020,Greenland,4
23/03/2020,South Africa,402
23/03/2020,India,499
24/03/2020,China,81180
24/03/2020,Chile,977
24/03/2020,Australia,2044
24/03/2020,Egypt,402
24/03/2020,United Kingdom,15088
24/03/2020,United States,56714
24/03/2020,Hungary,187
24/03/2020,Japan,1217
24/03/2020,Greenland,5
24/03/2020,South Africa,554
24/03/2020,India,536
25/03/2020,China,81221
25/03/2020,Chile,1197
25/03/2020,Australia,2364
25/03/2020,Egypt,456
25/03/2020,United Kingdom,17782
25/03/2020,United States,68841
25/03/2020,Hungary,226
25/03/2020,Japan,1314
25/03/2020,Greenland,6
25/03/2020,South Africa,709
25/03/2020,India,657
26/03/2020,China,81298
26/03/2020,Chile,1361
26/03/2020,Australia,2810
26/03/2020,Egypt,495
26/03/2020,United Kingdom,20870
26/03/2020,United States,86662
26/03/2020,Hungary,261
26/03/2020,Japan,1416
26/03/2020,Greenland,6
26/03/2020,South Africa,927
26/03/2020,India,727
27/03/2020,China,81345
27/03/2020,Chile,1665
27/03/2020,Australia,3143
27/03/2020,Egypt,536
27/03/2020,United Kingdom,24089
27/03/2020,United States,105253
27/03/2020,Hungary,300
27/03/2020,Japan,1530
27/03/2020,Greenland,10
27/03/2020,South Africa,1170
27/03/2020,India,887
28/03/2020,China,81401
28/03/2020,Chile,2015
28/03/2020,Australia,3640
28/03/2020,Egypt,576
28/03/2020,United Kingdom,26929
28/03/2020,United States,127417
28/03/2020,Hungary,343
28/03/2020,Japan,1728
28/03/2020,Greenland,10
28/03/2020,South Africa,1187
28/03/2020,India,987
29/03/2020,China,81444
29/03/2020,Chile,2245
29/03/2020,Australia,3984
29/03/2020,Egypt,609
29/03/2020,United Kingdom,29799
29/03/2020,United States,143544
29/03/2020,Hungary,408
29/03/2020,Japan,1907
29/03/2020,Greenland,10
29/03/2020,South Africa,1280
29/03/2020,India,1024
30/03/2020,China,81478
30/03/2020,Chile,2555
30/03/2020,Australia,4361
30/03/2020,Egypt,656
30/03/2020,United Kingdom,34080
30/03/2020,United States,165698
30/03/2020,Hungary,447
30/03/2020,Japan,2001
30/03/2020,Greenland,10
30/03/2020,South Africa,1326
30/03/2020,India,1251
31/03/2020,China,81524
31/03/2020,Chile,2844
31/03/2020,Australia,4559
31/03/2020,Egypt,710
31/03/2020,United Kingdom,38598
31/03/2020,United States,192079
31/03/2020,Hungary,492
31/03/2020,Japan,2255
31/03/2020,Greenland,10
31/03/2020,South Africa,1353
31/03/2020,India,1397
01/04/2020,China,81555
01/04/2020,Chile,3137
01/04/2020,Australia,4862
01/04/2020,Egypt,779
01/04/2020,United Kingdom,43536
01/04/2020,United States,223234
01/04/2020,Hungary,525
01/04/2020,Japan,2535
01/04/2020,Greenland,10
01/04/2020,South Africa,1380
01/04/2020,India,1998
02/04/2020,China,81589
02/04/2020,Chile,3510
02/04/2020,Australia,5116
02/04/2020,Egypt,865
02/04/2020,United Kingdom,48432
02/04/2020,United States,255513
02/04/2020,Hungary,585
02/04/2020,Japan,2818
02/04/2020,Greenland,10
02/04/2020,South Africa,1462
02/04/2020,India,2543
03/04/2020,China,81623
03/04/2020,Chile,3843
03/04/2020,Australia,5330
03/04/2020,Egypt,985
03/04/2020,United Kingdom,53356
03/04/2020,United States,287915
03/04/2020,Hungary,623
03/04/2020,Japan,3154
03/04/2020,Greenland,10
03/04/2020,South Africa,1505
03/04/2020,India,2567
04/04/2020,China,81638
04/04/2020,Chile,4355
04/04/2020,Australia,5550
04/04/2020,Egypt,1070
04/04/2020,United Kingdom,57427
04/04/2020,United States,319752
04/04/2020,Hungary,678
04/04/2020,Japan,3525
04/04/2020,Greenland,11
04/04/2020,South Africa,1585
04/04/2020,India,3082
05/04/2020,China,81668
05/04/2020,Chile,4665
05/04/2020,Australia,5687
05/04/2020,Egypt,1173
05/04/2020,United Kingdom,61038
05/04/2020,United States,348995
05/04/2020,Hungary,733
05/04/2020,Japan,3876
05/04/2020,Greenland,11
05/04/2020,South Africa,1655
05/04/2020,India,3588
06/04/2020,China,81707
06/04/2020,Chile,5009
06/04/2020,Australia,5797
06/04/2020,Egypt,1322
06/04/2020,United Kingdom,66367
06/04/2020,United States,380783
06/04/2020,Hungary,744
06/04/2020,Japan,4110
06/04/2020,Greenland,11
06/04/2020,South Africa,1686
06/04/2020,India,4778
07/04/2020,China,81739
07/04/2020,Chile,5310
07/04/2020,Australia,5895
07/04/2020,Egypt,1450
07/04/2020,United Kingdom,71827
07/04/2020,United States,410817
07/04/2020,Hungary,817
07/04/2020,Japan,4485
07/04/2020,Greenland,11
07/04/2020,South Africa,1749
07/04/2020,India,5311
08/04/2020,China,81804
08/04/2020,Chile,5740
08/04/2020,Australia,6010
08/04/2020,Egypt,1560
08/04/2020,United Kingdom,76979
08/04/2020,United States,441876
08/04/2020,Hungary,895
08/04/2020,Japan,5020
08/04/2020,Greenland,11
08/04/2020,South Africa,1845
08/04/2020,India,5916
09/04/2020,China,81865
09/04/2020,Chile,6166
