country,population,wealth
Australia,25.69,9268
China,1402,74884
Chile,19.12,764
Greenland,0.56367,2.714
Egypt,102.3,1159
Japan,125.8,26931
Hungary,9.75,417 
India,1380,12833
South Africa,59.31,41.4 
United Kingdom,67.22,15284
United States,329.5,126340

