year,sex,study1,work1,study2,work2,study3,work3
2016,female,83050,1608645,279650,9007706,85700,10468792				
2017,female,75500,1960037,269240,9014416,70530,10649402			
2018,female,76340,1950033,298630,8974440,83570,10792152	
2019,female,75870,2005417,319050,9250840,87820,10955863		
2016,male,84590,2169536,176380,9249210,63690,9510077
2017,male,79740,2147609,170150,9240877,58150,9679729
2018,male,80060,,180820,,65650,
2019,male,76890,,174030,,62880,
